Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Afghanistan,2021,9th,102.1,10,8.6,7.2,9.2,8.1,7,8.7,9.8,7.4,9,8.8,8.3
Albania,2021,119th,59,4.8,6.2,4.1,6.4,2.9,8.3,5.5,4.4,3.6,4.1,2.6,6.1
Algeria,2021,74th,73.6,6,7.5,7.2,6.8,5.6,5.5,7.8,5.6,6.3,4.8,6.8,3.7
Angola,2021,34th,89,7.2,7.2,8.1,8.4,8.9,6,8.2,9.3,6.2,9,5.9,4.6
Antigua and Barbuda,2021,127th,54.9,5.4,3.7,3.6,6.9,4.5,6,4.2,4.4,3.9,4.3,2.5,5.5
Argentina,2021,137th,50.1,4.9,2.8,3.8,7.1,4.9,3,4,4.8,3.3,5.3,1.9,4.3
Armenia,2021,91st,69.8,5.7,7,5.3,6.6,3.6,6.8,6.9,3.9,6,4.4,6.6,7
Australia,2021,170th,21.8,2.7,1.7,3.1,1.6,1.8,0.5,0.5,2.8,1.7,2.9,2,0.5
Austria,2021,166th,26.1,1.6,3.2,3.9,1.8,2.3,1.6,0.6,2.3,0.5,3.4,4.4,0.5
Azerbaijan,2021,71st,75.1,6.4,7.9,6.1,4.7,5.1,4.3,9.1,5.5,7.7,4.2,6.9,7.2
Bahamas,2021,131st,52.4,4.9,4.5,2.9,5.1,4.5,4.4,2.4,5.7,4.6,7.1,2.6,3.7
Bahrain,2021,104th,66.7,5.9,7.6,9.6,4.1,5.3,3,8,3.5,8.6,4.1,1.7,5.3
Bangladesh,2021,39th,85,7,9.3,8.6,5.5,5.7,7,7.4,7.7,7.2,7.1,7.3,5.2
Barbados,2021,140th,47,4.4,4.2,2.9,6.3,4.6,5.3,1.4,3.8,3.1,4.3,1.3,5.4
Belarus,2021,98th,68,5.6,8.8,5.9,5.1,3.7,4.1,9,3.3,7.9,5.1,2.4,7.1
Belgium,2021,162nd,31,2.6,4.4,4.1,4.6,2.1,2.5,0.8,2.5,0.6,4,2.3,0.5
Belize,2021,110th,64.2,7.4,4.3,4.7,7.7,4.2,5.7,4,6,5.4,5,3.1,6.7
Benin,2021,78th,72.8,5.3,6.7,2.6,6.7,8.2,6.5,5.1,8.5,4.9,7.7,5.1,5.5
Bhutan,2021,96th,68.3,3.3,7.5,9.1,5,4.7,6.1,3.1,6.2,5.2,5.2,5.8,7.1
Bolivia,2021,73rd,74.9,5.9,8.5,5.6,5.9,8.2,6.2,7,6.9,5.9,7.1,3.1,4.6
Bosnia and Herzegovina,2021,77th,72.9,5,8.7,6.6,6.4,4.1,6.5,6.2,4.8,4.9,5.1,7,7.6
Botswana,2021,122nd,57,3.4,3.3,3.9,6.6,6.8,4.9,2.4,7.1,4.8,7.6,3.3,2.9
Brazil,2021,70th,75.8,6.8,6.5,7.7,6.4,7,3.9,7,7.4,7.4,8.8,3.3,3.6
Brunei Darussalam,2021,124th,56.3,4.2,7.4,6.5,3.3,7.3,3.8,7.1,2.6,6.9,2.8,1.1,3.3
Bulgaria,2021,133rd,51.6,4.3,5.3,4.2,5.2,3.8,5,3.7,4,2.9,5.2,3.7,4.3
Burkina Faso,2021,36th,87.1,9,7.8,4.5,7,7.8,7,5.9,8.7,5.5,8.6,7.2,8.1
Burundi,2021,16th,97.1,8,8.2,7.3,8.8,7.2,5.6,9.3,7.9,9.2,9.2,8.2,8.2
Cabo Verde,2021,110th,64.2,4.8,5.5,2.9,6.5,5.5,7.7,4.1,5.6,2.8,6.8,3.6,8.4
Cambodia,2021,54th,80.6,6.4,8.3,6.1,5.2,6.2,6.6,8.7,8.2,7.7,5.9,4.5,6.8
Cameroon,2021,15th,97.2,8.3,9.3,8.7,7,7.6,7.1,9,8.6,7.5,8.8,8.3,7
Canada,2021,171st,21.7,2.8,2.5,2.2,2,2.3,1.1,0.5,2.3,1.3,2,2.2,0.5
Central African Republic,2021,6th,107,8,9.7,8.1,8.5,9.6,6.6,9,10,9.3,8.9,9.7,9.6
Chad,2021,7th,105.8,8.9,9.5,8,8.6,8.7,7.9,9.4,9.8,8.2,9.6,9.3,7.9
Chile,2021,144th,44.1,3.8,2.2,3.2,4.2,5.1,3.4,5.2,4.5,3.6,5.9,1.9,1.1
China,2021,95th,68.9,5.5,7.2,7.1,3.7,5.9,3.8,8.5,5.3,9.6,5.9,3.7,2.7
Colombia,2021,61st,79.3,6.9,7.6,7.5,6,6.4,5,5.5,6.6,6.8,8,7.6,5.4
Comoros,2021,47th,82.5,6.2,8,4.2,7.6,7.3,6.8,7.7,8.1,5.8,8,6,6.8
Congo Democratic Republic,2021,5th,108.4,8.6,9.5,9.4,8.5,8.5,6.8,9.2,9.8,9.2,9.8,10,9.1
Congo Republic,2021,26th,92.4,7,6.7,8.4,9,8.1,6.8,9.1,8.9,7.8,8,6.5,6.1
Costa Rica,2021,149th,42.5,3.5,3.8,3,5.2,4.7,3.5,1.3,4.7,1.1,3.5,3.9,4.3
Cote d'Ivoire,2021,28th,90.7,7.2,9.6,7.3,6.6,7.7,6.4,7.7,8.4,7.1,8.3,6.6,7.8
Croatia,2021,138th,49.8,2.6,4.4,4.9,5.7,2.8,5.7,2.3,3.1,2.6,4.6,6.6,4.5
Cuba,2021,118th,59.5,4,7,2.8,4.8,4.2,5.5,7.4,4.3,6.5,5,3,5
Cyprus,2021,121st,57.4,3.5,7.9,5.1,5.6,4.9,3.5,4,3.3,2.7,3.4,5.3,8.2
Czechia,2021,153rd,39.3,2.6,5.3,4.6,4.2,2,3.5,4.1,2.7,2,3,3.2,2.1
Denmark,2021,175th,18.8,1.7,1.4,3.7,1.7,1.2,1.3,0.5,1.4,0.9,2.3,2.2,0.5
Djibouti,2021,49th,82.4,5.3,7.3,5.3,6.8,7.3,4.6,8.4,7.4,7.2,7.5,7.1,8.2
Dominican Republic,2021,107th,64.7,6.1,6.2,4.6,5.1,4.9,6.6,6,7,4.7,6.7,2.6,4.2
Ecuador,2021,86th,71.2,5.9,8.2,6.1,6.3,6,4.6,5.7,6.6,4.2,6.9,5.6,5.1
Egypt,2021,39th,85,7.6,9.1,8.3,7.3,5.1,5.2,8.6,4.7,9.8,6.5,6.1,6.7
El Salvador,2021,82nd,71.6,6.6,4.8,5.5,6.1,5.4,8.4,4.4,6.8,5.5,7,5.5,5.6
Equatorial Guinea,2021,44th,84.1,5.9,8.2,6.9,6.3,7.9,4.3,9.8,8.7,8.4,8.5,5,4.2
Eritrea,2021,17th,97,6.2,8.4,8.3,7.7,8.3,8.6,9.6,8.3,8.9,8.2,7.4,7.1
Estonia,2021,152nd,39.5,2.3,5.9,7.4,3.2,2.6,4.3,1.5,2.5,1.3,2.9,1.9,3.7
Eswatini,2021,47th,82.5,5.1,6.8,2.2,9.8,8,6.4,8.6,7.7,8.2,8.9,4.1,6.7
Ethiopia,2021,11th,99,8.4,9.2,9.5,5.9,6.7,6.6,8.8,8.9,8.4,9.4,9.1,8.1
Fiji,2021,88th,70.4,6.5,7.9,5.7,7.7,5.1,7.6,5.7,4.4,5.7,4.1,2.8,7.2
Finland,2021,179th,16.2,2.5,1.4,0.6,2.9,1,1.5,0.5,1.6,0.5,1.7,1.5,0.5
France,2021,159th,32.5,3.5,1.9,6.4,4.2,3,2.1,0.9,1.8,1.2,3.9,2.7,0.9
